question,A,B,C,D,answer,feedback
"台灣的首都是哪一個城市？","台北","高雄","台中","台南",A,"正確！台北是中華民國（臺灣）的首都，也是政治中心。"
"太陽系中距離地球最近的行星是？","金星","火星","水星","木星",A,"金星有時接近地球並成為夜空中亮度很高的天體。"
"電腦的中央處理器英文縮寫是？","GPU","CPU","RAM","SSD",B,"CPU 是 Central Processing Unit 的縮寫。"
"水的沸點（海平面）大約為攝氏幾度？","50°C","100°C","150°C","212°C",B,"在標準大氣壓下，水的沸點約為 100°C。"
"下列哪一個不是程式語言？","Python","HTML","JavaScript","Java",B,"HTML 是標記語言（標記語言不是完整的程式語言），其他三個是程式語言。"
"人類的染色體正常數量（體細胞）為多少對？","23 對","46 對","22 對","44 對",A,"人類體細胞有 23 對染色體，總數 46 條。"
"植物進行光合作用的主要場所是？","根","葉綠體","花朵","莖",B,"葉綠體中含有葉綠素，是光合作用的重要細胞器。"
"哈利波特系列作者是誰？","J.R.R. Tolkien","J.K. Rowling","George R.R. Martin","C.S. Lewis",B,"J.K. Rowling 創作了《哈利波特》系列。"
"在 p5.js 裡，畫布的背景可以用哪個函式設定？","createCanvas()","background()","fill()","rect()",B,"background() 用來設定畫布背景顏色或圖像。"
"地球自轉一圈大約需要多少時間？","24 小時","12 小時","365 天","30 天",A,"地球自轉一圈大約 24 小時，造成晝夜交替。"
